Seven-spot ladybird;red;Color;Value;;;;;black spot
Two-spot ladybird;red;Red;4;;;;;black spot
Nine-spotted lady beetle;orange;Orange;4;;;;;
Convergent lady beetle;red;Yellow;2;;;;;
Fourteen-spotted ladybug;yellow;Brown;2;;;;;
Eighteen-spotted ladybird;brown;Black;3;;;;;
Ten-spotted ladybird;orange;Blue;1;;;;;
Eyed ladybug;brown;Pink;1;;;;;
Yellow-shouldered ladybird;black;Grey;3;;;;;black with 2 yellow spots on its shoulders
Transverse ladybird;red;;20;;;;;
Mealybug ladybird;black;;;;;;;
Thirteen-spot ladybeetle;orange;;;;;;;
22-spot ladybird;yellow;;;;;;;
Steelblue ladybird;blue;;;;;;;
Convergent lady beetle;orange;;;;;;;
Pink spotted lady beetle;pink;;;;;;;
Ashy gray lady beetle;grey;;;;;;;
Fifteen-spotted lady beetle;gray;;;;;;;
Twenty-spotted lady beetle;gray;;;;;;;
Large leaf-eating ladybird;black;;;;;;;
