Age;Weight;Length
1 Month;150 Grams;10-12 Inches
2 Months;170 Grams;10-12 Inches
3 Months;180 Grams;10-12 Inches
4 Months;280 Grams;12-18 Inches
5 Months;380 Grams;12-18 Inches
6 Months;480 Grams;12-18 Inches
7 Months;580 Grams;12-18 Inches
8 Months;675 Grams;12-18 Inches
9 Months;750 Grams;12-18 Inches
10 Months;850 Grams;18-24 Inches
11 Months;950 Grams;18-24 Inches
12 Months;1100 Grams;18-24 Inches
18 Months;1800 Grams;24-30 Inches
24 Months;2000 Grams;30-42 Inches
30 Months;2200 Grams;36-42 Inches
36 Months;2400 Grams;36-48++ Inches
;;
